CoolLED
_image_callback: (N=81, total=1.9590 [s]): mean=0.0242 [s], median=0.0064 [s], min/max=0.0034/0.1786 [s]
    _ready_for_next_trigger.wait: (N=81, total=0.0012 [s]): mean=0.0000 [s], median=0.0000 [s], min/max=0.0000/0.0000 [s]
             acquire_at_position: (N=27, total=62.4738 [s]): mean=2.3138 [s], median=2.3223 [s], min/max=1.9820/2.5412 [s]
            acquire_camera_image: (N=81, total=32.8669 [s]): mean=0.4058 [s], median=0.4511 [s], min/max=0.1287/0.6537 [s]
         apply_observation_state: (N=81, total=12.0724 [s]): mean=0.1490 [s], median=0.1357 [s], min/max=0.1071/0.2449 [s]
  apply_observation_state_to_hardware: (N=81, total=11.8774 [s]): mean=0.1466 [s], median=0.1340 [s], min/max=0.1055/0.2401 [s]
  apply_shutter_state_to_hardware: (N=81, total=9.1817 [s]): mean=0.1134 [s], median=0.1384 [s], min/max=0.0006/0.2566 [s]
            create_new_timepoint: (N=1, total=0.0060 [s]): mean=0.0060 [s], median=0.0060 [s], min/max=0.0060/0.0060 [s]
          current_capture_info =: (N=81, total=0.0034 [s]): mean=0.0000 [s], median=0.0000 [s], min/max=0.0000/0.0001 [s]
  exposure_time_done_sleep_hw or wait_for_image_sw: (N=81, total=0.0227 [s]): mean=0.0003 [s], median=0.0000 [s], min/max=0.0000/0.0029 [s]
  get_ready_for_trigger re-check: (N=81, total=0.0010 [s]): mean=0.0000 [s], median=0.0000 [s], min/max=0.0000/0.0001 [s]
               get_shutter_state: (N=81, total=0.0006 [s]): mean=0.0000 [s], median=0.0000 [s], min/max=0.0000/0.0000 [s]
          illuminate_for_capture: (N=81, total=9.7033 [s]): mean=0.1198 [s], median=0.1408 [s], min/max=0.0107/0.2703 [s]
             illumination_settle: (N=81, total=0.7197 [s]): mean=0.0089 [s], median=0.0060 [s], min/max=0.0051/0.0969 [s]
          image_to_display*.emit: (N=81, total=0.0188 [s]): mean=0.0002 [s], median=0.0002 [s], min/max=0.0001/0.0010 [s]
  initialize_coordinates_dataframe: (N=1, total=0.0006 [s]): mean=0.0006 [s], median=0.0006 [s], min/max=0.0006/0.0006 [s]
              initialize_z_stack: (N=1, total=0.0438 [s]): mean=0.0438 [s], median=0.0438 [s], min/max=0.0438/0.0438 [s]
       job creation and dispatch: (N=81, total=0.0083 [s]): mean=0.0001 [s], median=0.0001 [s], min/max=0.0001/0.0008 [s]
            job result summaries: (N=27, total=0.0811 [s]): mean=0.0030 [s], median=0.0012 [s], min/max=0.0004/0.0365 [s]
         load_observation_preset: (N=81, total=0.0737 [s]): mean=0.0009 [s], median=0.0007 [s], min/max=0.0006/0.0035 [s]
              move_to_coordinate: (N=27, total=22.2495 [s]): mean=0.8241 [s], median=0.7699 [s], min/max=0.5663/3.0374 [s]
      run_coordinate_acquisition: (N=1, total=85.0493 [s]): mean=85.0493 [s], median=85.0493 [s], min/max=85.0493/85.0493 [s]
           run_single_time_point: (N=1, total=85.1205 [s]): mean=85.1205 [s], median=85.1205 [s], min/max=85.1205/85.1205 [s]
            save_coordinates_csv: (N=1, total=0.0048 [s]): mean=0.0048 [s], median=0.0048 [s], min/max=0.0048/0.0048 [s]
                 save_plate_view: (N=1, total=0.0000 [s]): mean=0.0000 [s], median=0.0000 [s], min/max=0.0000/0.0000 [s]
                    send_trigger: (N=81, total=10.0284 [s]): mean=0.1238 [s], median=0.1056 [s], min/max=0.1022/0.1985 [s]

CURRENT BEST

_image_callback: (N=27, total=0.2950 [s]): mean=0.0109 [s], median=0.0066 [s], min/max=0.0046/0.0526 [s]
    _ready_for_next_trigger.wait: (N=27, total=0.0003 [s]): mean=0.0000 [s], median=0.0000 [s], min/max=0.0000/0.0000 [s]
             acquire_at_position: (N=9, total=5.8347 [s]): mean=0.6483 [s], median=0.5893 [s], min/max=0.5278/0.8107 [s]
            acquire_camera_image: (N=27, total=3.0204 [s]): mean=0.1119 [s], median=0.1081 [s], min/max=0.0519/0.3055 [s]
      acquire_camera_image_inner: (N=27, total=3.0052 [s]): mean=0.1113 [s], median=0.1074 [s], min/max=0.0515/0.3052 [s]
           af:find_spot_location: (N=54, total=0.1077 [s]): mean=0.0020 [s], median=0.0019 [s], min/max=0.0016/0.0035 [s]
                af:get_new_frame: (N=54, total=0.2471 [s]): mean=0.0046 [s], median=0.0021 [s], min/max=0.0017/0.0289 [s]
         af:measure_displacement: (N=9, total=0.4873 [s]): mean=0.0541 [s], median=0.0450 [s], min/max=0.0355/0.0836 [s]
               af:move_to_target: (N=9, total=2.0486 [s]): mean=0.2276 [s], median=0.1633 [s], min/max=0.1429/0.3840 [s]
                       af:move_z: (N=9, total=1.1030 [s]): mean=0.1226 [s], median=0.0544 [s], min/max=0.0204/0.2832 [s]
                   af:read_frame: (N=54, total=0.1004 [s]): mean=0.0019 [s], median=0.0002 [s], min/max=0.0001/0.0065 [s]
                 af:send_trigger: (N=54, total=0.0776 [s]): mean=0.0014 [s], median=0.0011 [s], min/max=0.0009/0.0130 [s]
           af:spot_centroid_loop: (N=18, total=0.4362 [s]): mean=0.0242 [s], median=0.0210 [s], min/max=0.0185/0.0577 [s]
